Rooms,Distance,Value
6.718,7.8265,26.2
6.487,7.3967,24.4
6.438,7.3967,24.8
6.957,8.9067,29.6
8.259,8.9067,42.8
6.108,9.2203,21.9
5.876,9.2203,20.9
7.454,6.3361,44.0
8.704,1.801,50.0
7.333,1.8946,36.0
6.842,2.0107,30.1
7.203,2.1121,33.8
7.52,2.1398,43.1
8.398,2.2885,48.8
7.327,2.0788,31.0
7.206,1.9301,36.5
5.56,1.9865,22.8
7.014,2.1329,30.7
8.297,2.4216,50.0
7.47,2.872,43.5
5.92,3.9175,20.7
5.856,4.429,21.1
6.24,4.429,25.2
6.538,3.9175,24.4
7.691,4.3665,35.2
6.758,4.0776,32.4
6.854,4.2673,32.0
7.267,4.7872,33.2
6.826,4.8628,33.1
6.482,4.1403,29.1
6.812,4.1007,35.1
7.82,4.6947,45.4
6.968,5.2447,35.4
7.645,5.2119,46.0
7.923,5.885,50.0
7.088,7.3073,32.2
6.453,7.3073,22.0
6.23,9.0892,20.1
6.209,7.3172,23.2
6.315,7.3172,22.3
6.565,7.3172,24.8
6.861,5.1167,28.5
7.148,5.1167,37.3
6.63,5.1167,27.9
6.127,5.5027,23.9
6.009,5.5027,21.7
6.678,5.9604,28.6
6.549,5.9604,27.1
5.79,6.32,20.3
6.345,7.8278,22.5
7.041,7.8278,29.0
6.871,7.8278,24.8
6.59,5.4917,22.0
6.495,5.4917,26.4
6.982,5.4917,33.1
7.236,4.022,36.1
6.616,3.37,28.4
7.42,3.0992,33.4
6.849,3.1827,28.2
6.635,3.3175,22.8
5.972,3.1025,20.3
4.973,2.5194,16.1
6.122,2.6403,22.1
6.023,2.834,19.4
6.266,3.2628,21.6
6.567,3.6023,23.8
5.705,3.945,16.2
5.914,3.9986,17.8
5.782,4.0317,19.8
6.382,3.5325,23.1
6.113,4.0019,21.0
6.426,4.5404,23.8
6.376,4.5404,23.1
6.041,4.7211,20.4
5.708,4.7211,18.5
6.415,4.7211,25.0
6.431,5.4159,24.6
6.312,5.4159,23.0
6.083,5.4159,22.2
5.868,5.2146,19.3
6.333,5.2146,22.6
6.144,5.8736,19.8
5.706,6.6407,17.1
6.031,6.6407,19.4
6.316,6.4584,22.2
6.31,6.4584,20.7
6.037,5.9853,21.1
5.869,5.2311,19.5
5.895,5.615,18.5
6.059,4.8122,20.6
5.985,4.8122,19.0
5.968,4.8122,18.7
7.241,7.0379,32.7
6.54,6.2669,16.5
6.696,5.7321,23.9
6.874,6.4654,31.2
6.014,8.0136,17.5
5.898,8.0136,17.2
6.516,8.5353,23.1
6.635,8.344,24.5
6.939,8.7921,26.6
6.49,8.7921,22.9
6.579,10.7103,24.1
5.884,10.7103,18.6
6.728,12.1265,30.1
5.663,10.5857,18.2
5.936,10.5857,20.6
6.212,2.1222,17.8
6.395,2.5052,21.7
6.127,2.7227,22.7
6.112,2.5091,22.6
6.398,2.5182,25.0
6.251,2.2955,19.9
5.362,2.1036,20.8
5.803,1.9047,16.8
8.78,1.9047,21.9
3.561,1.6132,27.5
4.963,1.7523,21.9
3.863,1.5106,23.1
4.97,1.3325,50.0
6.683,1.3567,50.0
7.016,1.2024,50.0
6.216,1.1691,50.0
5.875,1.1296,50.0
4.906,1.1742,13.8
4.138,1.137,13.8
7.313,1.3163,15.0
6.649,1.3449,13.9
6.794,1.358,13.3
6.38,1.3861,13.1
6.223,1.3861,10.2
6.968,1.4165,10.4
6.545,1.5192,10.9
5.536,1.5804,11.3
5.52,1.5331,12.3
4.368,1.4395,8.8
5.277,1.4261,7.2
4.652,1.4672,10.5
5.0,1.5184,7.4
4.88,1.5895,10.2
5.39,1.7281,11.5
5.713,1.9265,15.1
6.051,2.1678,23.2
5.036,1.77,9.7
6.193,1.7912,13.8
5.887,1.7821,12.7
6.471,1.7257,13.1
6.405,1.6768,12.5
5.747,1.6334,8.5
5.453,1.4896,5.0
5.852,1.5004,6.3
5.987,1.5888,5.6
6.343,1.5741,7.2
6.404,1.639,12.1
5.349,1.7028,8.3
5.531,1.6074,8.5
5.683,1.4254,5.0
4.138,1.1781,11.9
5.608,1.2852,27.9
5.617,1.4547,17.2
6.852,1.4655,27.5
5.757,1.413,15.0
6.657,1.5275,17.2
4.628,1.5539,17.9
5.155,1.5894,16.3
4.519,1.6582,7.0
6.434,1.8347,7.2
6.782,1.8195,7.5
5.304,1.6475,10.4
5.957,1.8026,8.8
6.824,1.794,8.4
6.411,1.8589,16.7
6.006,1.8746,14.2
5.648,1.9512,20.8
6.103,2.0218,13.4
5.565,2.0635,11.7
5.896,1.9096,8.3
5.837,1.9976,10.2
6.202,1.8629,10.9
6.193,1.9356,11.0
6.38,1.9682,9.5
6.348,2.0527,14.5
6.833,2.0882,14.1
6.425,2.2004,16.1
6.436,2.3158,14.3
6.208,2.2222,11.7
6.629,2.1247,13.4
6.461,2.0026,9.6
6.152,1.9142,8.7
5.935,1.8206,8.4
5.627,1.8172,12.8
5.818,1.8662,10.5
6.406,2.0651,17.1
6.219,2.0048,18.4
6.485,1.9784,15.4
5.854,1.8956,10.8
6.459,1.9879,11.8
6.341,2.072,14.9
6.251,2.198,12.6
6.185,2.2616,14.1
6.417,2.185,13.0
6.749,2.3236,13.4
6.655,2.3552,15.2
6.297,2.3682,16.1
7.393,2.4527,17.8
6.728,2.4961,14.9
6.525,2.4358,14.1
5.976,2.5806,12.7
5.936,2.7792,13.5
6.301,2.7831,14.9
6.081,2.7175,20.0
6.701,2.5975,16.4
6.376,2.5671,17.7
6.317,2.7344,19.5
6.513,2.8016,20.2
6.209,2.9634,21.4
5.759,3.0665,19.9
5.952,2.8715,19.0
6.003,2.5403,19.1
5.926,2.9084,19.1
5.713,2.8237,20.1
6.167,3.0334,19.9
6.229,3.0993,19.6
6.437,2.8965,23.2
6.98,2.5329,29.8
5.427,2.4298,13.8
6.162,2.206,13.3
6.484,2.3053,16.7
5.304,2.1007,12.0
6.185,2.1705,14.6
6.229,1.9512,21.4
6.242,3.4242,23.0
6.75,3.3317,23.7
7.061,3.4106,25.0
5.762,4.0983,21.8
5.871,3.724,20.6
6.312,3.9917,21.2
6.114,3.5459,19.1
5.905,3.1523,20.6
5.454,1.8209,15.2
5.414,1.7554,7.0
5.093,1.8226,8.1
5.983,1.8681,13.6
5.983,2.1099,20.1
5.707,2.3817,21.8
5.926,2.3817,24.5
5.67,2.7986,23.1
5.39,2.7986,19.7
5.794,2.8927,18.3
6.019,2.4091,21.2
5.569,2.3999,17.5
6.027,2.4982,16.8
6.593,2.4786,22.4
6.12,2.2875,20.6
6.976,2.1675,23.9
6.794,2.3889,22.0
6.03,2.505,11.9
